pid,sex,group,visit1_date,visit2_date,visit1_blactate_begin,visit2_blactate_begin,visit1_vo2_max,visit2_vo2_max,visit1_vco2_max,visit2_vco2_max,visit1_rer_max,visit2_rer_max,visit1_speed_max,visit2_speed_max,visit1_blactate_end,visit2_blactate_end,visit1_comments,visit2_comments
10734945,female,2w,12FEB2019,,1.8,NA,66.37,NA,74.2,NA,1.12,NA,23.4,NA,14.7,NA,,
10742611,female,2w,12FEB2019,,1.2,NA,70.16,NA,74.4,NA,1.06,NA,23.4,NA,16,NA,,
10756086,female,2w,13FEB2019,,2,NA,60.1,NA,64.46,NA,1.09,NA,19.8,NA,8.7,NA,,
10761160,female,2w,13FEB2019,,1.2,NA,66.63,NA,66,NA,0.99,NA,25.2,NA,10.4,NA,,
10782168,female,2w,13FEB2019,,1.4,NA,77.72,NA,72.4,NA,0.93,NA,28.8,NA,13.8,NA,,
10830073,female,2w,13FEB2019,,1.1,NA,63.78,NA,63.76,NA,1,NA,23.4,NA,10.9,NA,,
10858679,female,2w,14FEB2019,,0.9,NA,72.74,NA,72.15,NA,0.99,NA,27,NA,10.2,NA,,
10871349,female,2w,14FEB2019,,1.4,NA,71.76,NA,71.09,NA,0.99,NA,23.4,NA,9.9,NA,,
10877894,female,2w,14FEB2019,,1.3,NA,66.46,NA,72.48,NA,1.09,NA,23.4,NA,14.6,NA,,
10971645,female,2w,15FEB2019,,0.9,NA,64.61,NA,68.89,NA,1.07,NA,25.2,NA,11,NA,,
10972374,female,2w,15FEB2019,,1.3,NA,65,NA,67.13,NA,1.03,NA,25.2,NA,13,NA,,
10268871,female,4w,29OCT2018,27NOV2018,1.6,1.4,77.4,78.86,78.97,80.21,1.03,1.03,25.2,25.2,10.9,7.9,,Max speed: 25.2 m/min at 15 degree
10282947,female,4w,29OCT2018,27NOV2018,2,1.5,76.45,72.24,81.31,73.86,1.07,1.02,23.4,27,13,10.1,,Max speed: 27.0 m/min at 15 degree
